Violation_Location,Address
1.00,16 Ericsson Place
2.00,No Address Found
3.00,No Address Found
4.00,No Address Found
5.00,19 Elizabeth Street
6.00,233 West 10 Street
7.00,19 1/2 Pitt Street
8.00,No Address Found
9.00,321 East 5 Street
10.00,230 West 20th Street
11.00,No Address Found
12.00,No Address Found
13.00,230 East 21st Street
14.00,No Address Found
15.00,357 West 35th Street
16.00,No Address Found
17.00,167 East 51st Street
18.00,306 West 54th Street
19.00,153 East 67th Street
20.00,120 West 82nd Street
21.00,86th St & Transverse Road
22.00,No Address Found
23.00,164 East 102nd Street
24.00,151 West 100th Street
25.00,120 East 119th Street
26.00,520 West 126th Street
27.00,No Address Found
28.00,2271-89 8th Avenue
29.00,No Address Found
30.00,451 West 151st Street
31.00,No Address Found
32.00,250 West 135th Street
33.00,2207 Amsterdam Avenue
34.00,4295 Broadway
35.00,No Address Found
36.00,No Address Found
37.00,No Address Found
38.00,No Address Found
39.00,No Address Found
40.00,257 Alexander Avenue
41.00,1035 Longwood Avenue
42.00,830 Washington Avenue
43.00,900 Fteley Avenue
44.00,2 East 169th Street
45.00,2877 Barkley Avenue
46.00,2120 Ryer Avenue
47.00,4111 Laconia Avenue
48.00,450 Cross Bronx Expressway
49.00,2121 Eastchester Road
50.00,3450 Kingsbridge Avenue
51.00,No Address Found
52.00,3016 Webster Avenue
53.00,No Address Found
54.00,No Address Found
55.00,No Address Found
56.00,No Address Found
57.00,No Address Found
58.00,No Address Found
59.00,No Address Found
60.00,2951 West 8th Street
61.00,2575 Coney Island Avenue
62.00,1925 Bath Avenue
63.00,1844 Brooklyn Avenue
64.00,No Address Found
65.00,No Address Found
66.00,5822 16th Avenue
67.00,2820 Snyder Avenue
68.00,333 65th Street
69.00,9720 Foster Avenue
70.00,154 Lawrence Avenue
71.00,421 Empire Boulevard
72.00,830 4th Avenue
73.00,1470 East New York Avenue
74.00,No Address Found
75.00,1000 Sutter Avenue
76.00,191 Union Street
77.00,127 Utica Avenue
78.00,65 6th Avenue
79.00,263 Tompkins Avenue
80.00,No Address Found
81.00,30 Ralph Avenue
82.00,No Address Found
83.00,480 Knickerbocker Avenue
84.00,301 Gold Street
85.00,No Address Found
86.00,No Address Found
87.00,No Address Found
88.00,298 Classon Avenue
89.00,No Address Found
90.00,211 Union Avenue
91.00,No Address Found
92.00,No Address Found
93.00,No Address Found
94.00,100 Meserole Avenue
95.00,No Address Found
96.00,No Address Found
97.00,No Address Found
98.00,No Address Found
99.00,No Address Found
100.00,92-24 Rockaway Beach Boulevard
101.00,16-12 Mott Avenue
102.00,87-34 118th Street
103.00,168-02 P.O Edward Byrne Ave.
104.00,64-2 Catalpa Avenue
105.00,92-08 222nd Street
106.00,103-53 101st Street
107.00,71-01 Parsons Boulevard
108.00,5-47 50th Avenue
109.00,37-05 Union Street
110.00,94-41 43rd Avenue
111.00,45-06 215th Street
112.00,68-40 Austin Street
113.00,167-02 Baisley Boulevard
114.00,34-16 Astoria Boulevard
115.00,92-15 Northern Boulevard
116.00,970 Richmond Avenue
117.00,2320 Hylan Boulevard
118.00,116 Main Street
119.00,No Address Found
120.00,78 Richmond Terrace
